Day,Hour,Hashrate,Valid_share,Invalid_share,Stale_shares,Bad_shares,Low_diff_shares,Revenue
2023/01/11,19:16:56,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:17:05,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:17:28,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:17:47,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:18:53,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:19:05,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:19:18,35.73238823098894,113807.0,63.0,429.0,0.0,0.0,0.005496633008384063
2023/01/11,19:21:09,35.57312030666683,28295.0,18.0,123.0,0.0,0.0,0.001368642814151735
2023/01/11,19:37:09,35.83082628534414,28385.0,9.0,0.0,0.0,0.0,0.0013787683384107357
2023/01/11,19:37:22,35.83082628534414,28385.0,9.0,0.0,0.0,0.0,0.0013787683384107357
2023/01/11,19:54:12,35.45271156662949,28085.0,8.0,76.0,0.0,0.0,0.001364378075896873
2023/01/11,19:54:22,35.45271156662949,28085.0,8.0,76.0,0.0,0.0,0.001364378075896873
2023/01/11,20:41:29,35.78985603873403,28316.0,5.0,185.0,0.0,0.0,0.0013779099756061925
2023/01/11,20:46:43,35.77484403997613,28307.0,2.0,70.0,0.0,0.0,0.001377333485279155
2023/01/11,20:53:41,35.93372102683059,28426.0,1.0,0.0,0.0,0.0,0.001383419566709662
2023/01/11,20:55:17,35.759832041218225,28260.0,1.0,163.0,0.0,0.0,0.0013766863997862612
2023/01/11,20:55:31,35.759832041218225,28260.0,1.0,163.0,0.0,0.0,0.0013766863997862612
2023/01/11,21:18:59,35.4051735705628,28012.0,8.0,83.0,0.0,0.0,0.001362909163305408
2023/01/11,21:37:22,35.84302353433494,28330.0,2.0,45.0,0.0,0.0,0.0013797731232180798
2023/01/11,21:37:33,35.84302353433494,28330.0,2.0,45.0,0.0,0.0,0.0013797731232180798
2023/01/11,23:40:59,35.89744202983233,28545.0,0.0,0.0,0.0,0.0,0.0013828756723239613
2023/01/11,23:46:14,35.965621524191135,28673.0,2.0,0.0,0.0,0.0,0.001385504726984211
2023/01/11,23:48:26,35.965621524191135,28673.0,2.0,0.0,0.0,0.0,0.001385504726984211
2023/01/12,00:00:12,35.9706255237771,28747.0,4.0,0.0,0.0,0.0,0.0013856989771600956
2023/01/12,00:11:43,35.92621502745164,28583.0,6.0,0.0,0.0,0.0,0.001383988148437012
2023/01/12,00:12:52,35.92621502745164,28583.0,6.0,0.0,0.0,0.0,0.001383988148437012
2023/01/12,00:14:54,35.92621502745164,28583.0,6.0,0.0,0.0,0.0,0.001383988148437012
2023/01/12,00:14:58,35.92621502745164,28583.0,6.0,0.0,0.0,0.0,0.001383988148437012
2023/01/12,00:14:58,35.92621502745164,28583.0,6.0,0.0,0.0,0.0,0.001383988148437012
2023/01/12,00:27:06,36.00815552067185,28662.0,1.0,62.0,0.0,0.0,0.0013871614466043492
2023/01/12,00:42:08,35.83426653505949,28550.0,5.0,0.0,0.0,0.0,0.00138080240367802
2023/01/12,00:57:10,35.74794754220156,28563.0,4.0,216.0,0.0,0.0,0.001377679040896566
2023/01/12,01:12:11,36.15514800850964,28845.0,2.0,62.0,0.0,0.0,0.0013935745720390423
2023/01/12,01:27:13,36.056319016686786,28846.0,0.0,0.0,0.0,0.0,0.0013899181828164004
2023/01/12,01:42:14,35.76608704070069,28627.0,0.0,140.0,0.0,0.0,0.0013788918605548437
